sensitive_attribute,group,tp,tn,fp,fn,tpr,tnr,fpr,fnr,pr,nr,accuracy
ethnicity,AMERICAN INDIAN/ALASKA NATIVE,3,0,2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.6
ethnicity,ASIAN - CHINESE,0,0,1,0,,0.0,1.0,,1.0,0.0,0.0
ethnicity,BLACK/AFRICAN AMERICAN,8,0,13,0,1.0,0.0,1.0,0.0,1.0,0.0,0.38095238095238093
ethnicity,BLACK/CAPE VERDEAN,3,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,0.75
ethnicity,HISPANIC/LATINO - DOMINICAN,3,0,2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.6
ethnicity,HISPANIC/LATINO - PUERTO RICAN,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,0,0,1,0,,0.0,1.0,,1.0,0.0,0.0
ethnicity,OTHER,6,0,5,0,1.0,0.0,1.0,0.0,1.0,0.0,0.5454545454545454
ethnicity,PATIENT DECLINED TO ANSWER,2,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666
ethnicity,PORTUGUESE,4,0,0,0,1.0,,,0.0,1.0,0.0,1.0
ethnicity,SOUTH AMERICAN,0,0,1,0,,0.0,1.0,,1.0,0.0,0.0
ethnicity,UNABLE TO OBTAIN,3,0,1,0,1.0,0.0,1.0,0.0,1.0,0.0,0.75
ethnicity,UNKNOWN,18,0,32,0,1.0,0.0,1.0,0.0,1.0,0.0,0.36
ethnicity,WHITE,131,0,138,0,1.0,0.0,1.0,0.0,1.0,0.0,0.48698884758364314
ethnicity,WHITE - OTHER EUROPEAN,9,0,3,0,1.0,0.0,1.0,0.0,1.0,0.0,0.75
ethnicity,WHITE - RUSSIAN,6,0,2,0,1.0,0.0,1.0,0.0,1.0,0.0,0.75
gender,F,80,0,78,0,1.0,0.0,1.0,0.0,1.0,0.0,0.5063291139240507
gender,M,117,0,125,0,1.0,0.0,1.0,0.0,1.0,0.0,0.4834710743801653
age_binned,20-30,1,0,0,0,1.0,,,0.0,1.0,0.0,1.0
age_binned,40-50,0,0,4,0,,0.0,1.0,,1.0,0.0,0.0
age_binned,50-60,16,0,27,0,1.0,0.0,1.0,0.0,1.0,0.0,0.37209302325581395
age_binned,60-70,65,0,59,0,1.0,0.0,1.0,0.0,1.0,0.0,0.5241935483870968
age_binned,70-80,83,0,67,0,1.0,0.0,1.0,0.0,1.0,0.0,0.5533333333333333
age_binned,80-90,29,0,36,0,1.0,0.0,1.0,0.0,1.0,0.0,0.4461538461538462
age_binned,90-100,3,0,10,0,1.0,0.0,1.0,0.0,1.0,0.0,0.23076923076923078
