itemid,avg(mean_frequency),total_count
228715,1.0,2
229380,1.0333333333333334,31
226236,1.0,80
225441,1.8869047619047619,317
225447,1.0,12
225433,1.1714285714285715,41
225445,1.4444444444444444,13
225205,1.0,3
225465,1.391304347826087,32
225479,1.16,29
229614,1.0769230769230769,42
225469,1.0866372980910426,740
225401,1.7742616033755274,841
229575,1.0,21
225463,1.0,1
225457,1.3048780487804879,107
228136,1.0,7
221223,1.1666666666666667,63
225794,1.1452513966480447,205
225440,1.0,21
224277,1.2658779576587795,2033
225470,1.2102272727272727,213
225204,1.0476190476190477,88
225402,1.4590723055934516,2139
221255,1.0153846153846153,66
229298,1.1,33
227711,1.0,18
221217,1.2261904761904763,412
225462,1.0727272727272728,59
228129,1.8312958435207825,749
228169,1.1111111111111112,10
225792,1.0846599131693198,1499
225427,1.0,11
225399,1.0666666666666667,16
225466,1.1666666666666667,14
225436,1.0,7
229525,1.0,11
229581,2.0476190476190474,989
229351,1.1168958742632613,1137
229755,1.0,5
229582,1.0,8
225821,1.0909090909090908,12
225432,1.117338003502627,638
224267,1.0731707317073171,352
225475,1.0,2
229532,1.0,39
225443,1.1428571428571428,16
224276,1.131578947368421,559
224274,1.2663366336633664,1279
228130,1.0,4
221214,1.3099173553719008,634
225437,1.0,2
224269,1.0172413793103448,118
224273,1.0,5
225816,1.0,11
227712,1.034965034965035,296
226476,1.0,5
225448,1.0,15
229577,1.0384615384615385,27
227550,1.1428571428571428,24
224385,1.1376811594202898,314
227719,1.0,44
229531,1.0,2
225444,1.1791044776119404,79
224263,1.0749219562955254,1033
225202,1.037037037037037,28
225434,1.0,22
229580,1.1724137931034482,102
229585,1.0,3
223253,1.1,132
224270,1.304093567251462,223
225451,1.2336065573770492,301
227714,1.0,1
225464,2.9285714285714284,123
224268,1.0,24
225400,1.5149700598802396,253
228125,1.125,45
221219,1.0,4
228286,1.0,16
229468,1.0,12
227194,1.0576057605760576,1175
225315,1.0625,17
225966,1.0301724137931034,478
225406,1.0,3
225439,1.0632911392405062,84
225430,1.0545454545454545,58
225199,1.0,2
229516,1.0625,102
229586,1.75,7
225805,1.25,5
225461,1.0,1
225476,1.0,7
224275,1.6586234177215189,4193
229529,1.0,3
225429,1.0,2
225817,1.1764705882352942,40
228126,1.0,3
225454,1.254364089775561,503
225428,1.0,1
228128,1.2440944881889764,316
225446,1.105263157894737,21
225814,1.0930232558139534,94
229579,1.0,7
224566,1.08,27
229526,1.029126213592233,106
229366,1.4,14
224272,1.0384615384615385,81
229501,1.1666666666666667,7
224560,1.043731778425656,358
221216,1.2446808510638299,234
229578,1.0277777777777777,37
225820,1.0,4
225789,1.1521739130434783,106
225449,1.0,1
225752,1.141812865497076,1562
225459,2.2885756676557865,3085
225472,1.0,1
226477,1.0,4
227551,1.6666666666666667,5
225802,2.032258064516129,126
227715,1.0,2
225468,1.0,27
226124,1.0,5
224264,1.0679012345679013,692
228127,1.05,21
229530,1.0,3
229528,1.0,1
225460,1.0,3
229527,1.0,1
227713,1.0,2
226237,1.0,1
229524,1.6666666666666667,5
225203,1.0,2
225477,1.0,1
225474,1.0,3
